IPLAN	ICURSO	TITULO	ITEMA	IRECURSO	BACTIVO	IUSUARIOCRE	IAPPCRE	IPCRE	FHCRE	IUSUARIOULT	IAPPULT	IPULT	FHULT
045030	CP40MOD140	Consumo de un elemento alias de otro elemento											
045040	CP40MOD140	Venta de un elemento alias de otro elemento											
045050	CP40MOD140	Ejemplo 1 consumo de un elemento alias de otro elemento de inventario											
045060	CP40MOD140	Ejemplo 1 Venta de un elemento alias de otro elemento											
010	CP40MOD010	INTRODUCCIÓN AL SISTEMA BASICO											
030	CP40MOD010	EXPLORADOR GRÁFICO DE LA EMPRESA											
060	CP40MOD010	CATÁLOGO DE TERCEROS											
070	CP40MOD010	CATÁLOGO DE CUENTAS											
080	CP40MOD010	MANEJADOR DE OPERACIONES											
010	CP40MOD020	INTRODUCCIÓN A CONTABILIDAD BÁSICO											
020	CP40MOD020	OPERACIONES											
010	CP40MOD080	INTRODUCCIÓN A CARTERA Y PROVEEDORES											
030	CP40MOD020	INFORMES Y CONSULTAS											
040	CP40MOD020	CARGUE INICIAL DE CUENTAS											
015	CP40MOD020	ADECUACIÓN INICIAL											
020	CP40MOD080	OPERACIONES DE MANEJO DE CARTERA											
030	CP40MOD080	INFORMES Y CONSULTAS DE CARTERA											
075	CP40MOD010	DOCUMENTOS SOPORTE DE IMPRESIÓN											
010	CP40MOD095	COMPONENTES GENERICOS											
010	CP40MOD005	CONCEPTOS GENERALES											
020	CP40MOD005	INSTALACION											
035	CP40MOD080	INFORMES Y CONSULTAS DE PROVEEDORES											
025	CP40MOD090	OPERACIONES DE AUTOMATIZACIÓN DE CARTERA ( CxC )											
010	CP40MOD090	INTRODUCCIÓN A AUTOMATIZACION DE DOCUMENTOS											
020	CP40MOD090	OPERACIONES DE AUTOMATIZACIÓN DE GASTOS											
010	CP40MOD030	CALCULO AUTOMATICO DE IMPUESTOS											
005	CP40MOD130	INTRODUCCIÓN A INVENTARIOS GESTIÓN BÁSICA											
060	CP40MOD130	OTRAS OPERACIONES											
080	CP40MOD130	INFORMES Y CONSULTAS											
090	CP40MOD130	CARGUE INICIAL DE INVENTARIOS											
020	CP40MOD130	BODEGAS											
010	CP40MOD130	CONCEPTOS GENERALES											
010	CP40MOD140	INTRODUCCIÓN A INVENTARIOS GESTIÓN COMERCIAL											
022	CP40MOD090	OPERACIONES DE AUTOMATIZACIÓN DE INGRESOS											
015	CP40MOD140	LISTAS DE PRECIOS											
027	CP40MOD090	OPERACIONES DE AUTOMATIZACIÓN DE PROVEEDORES ( CxP )											
028	CP40MOD090	OPERACIONES DE AUTOMATIZACIÓN DE GASTOS E INGRESOS DIFERIDOS											
029	CP40MOD090	OPERACIONES PARA TRASLADO DE FONDOS ENTRE CUENTAS											
050	CP40MOD080	CARGUE INICIAL DE CARTERA Y PROVEEDORES											
032	CP40MOD080	OPERACIONES DE MANEJO DE  PROVEEDORES											
