ICURSO	QNIVEL	NNIVEL	BACTIVO	IUSUARIOCRE	IAPPCRE	IPCRE	FHCRE	IUSUARIOULT	IAPPULT	IPULT	FHULT
CPNE1	1	Capítulo	1								
CPNE1	2	Título	1								
CPNE1021	1	Capítulo	1								
CPNE1021	2	Título	1								
CPNE421	1	Capítulo	1								
CPNE421	2	Título	1								
CPNE521	1	Capítulo	1								
CPNE521	2	Título	1								
CPNE821	1	Capítulo	1								
CPNE821	2	Título	1								
CURSO001	1	Capítulo	1								
CURSO001	2	Título	1								
CURSOSFE	1	Capítulo	1								
CURSOSFE	2	Título	1								
CVMCPC	1	Capítulo	1								
CVMCPC	2	Título	1								
CVMCPN	1	Capítulo	1								
CVMCPN	2	Título	1								
DEAE0925	1	Capítulo	1								
DEAE0925	2	Título	1								
DEVSDIAN	1	Capítulo	1								
DEVSDIAN	2	Título	1								
DISTCOM001	1	Capítulo	1								
DISTCOM001	2	Título	1								
DISTNE	1	Capítulo	1								
DISTNE	2	Título	1								
DOCE210126	1	Capítulo	1								
DOCE210126	2	Título	1								
DOCSOPNO22	1	Capítulo	1								
DOCSOPNO22	2	Título	1								
DRENPNAT22	1	Capítulo	1								
DRENPNAT22	2	Título	1								
DRPJ	1	Capítulo	1								
DRPJ	2	Título	1								
DRPN	1	Capítulo	1								
DRPN	2	Título	1								
DRPN-AG22	1	Capítulo	1								
DRPN-AG22	2	Título	1								
DRPN-AG23	1	Capítulo	1								
DRPN-AG23	2	Título	1								
DRPN-BENEF	1	Capítulo	1								
DRPN-BENEF	2	Título	1								
DRPN-CASOS	1	Capítulo	1								
DRPN-CASOS	2	Título	1								
DSNO2022	1	Capítulo	1								
DSNO2022	2	Título	1								
EDCES	1	Capítulo	1								
EDCES	2	Título	1								
EMPRE-2023	1	Capítulo	1								
EMPRE-2023	2	Título	1								
EXO-AG2023	1	Capítulo	1								
EXO-AG2023	2	Título	1								
EXÓ2022	1	Capítulo	1								
EXÓ2022	2	Título	1								
EXOAG22	1	Capítulo	1								
EXOAG22	2	Título	1								
EXOG2022	1	Capítulo	1								
EXOG2022	2	Título	1								
FACELE	1	Capítulo	1								
FACELE	2	Título	1								
FACTELEC	1	Capítulo	1								
FACTELEC	2	Título	1								
FE-POS-24	1	Capítulo	1								
FE-POS-24	2	Título	1								
FEPCE1025	1	Capítulo	1								
FEPCE1025	2	Título	1								
FORBASCOM	1	Capítulo	1								
FORBASCOM	2	Título	1								
GESTTELE01	1	Capítulo	1								
GESTTELE01	2	Título	1								
HAB-FE-23	1	Capítulo	1								
HAB-FE-23	2	Título	1								
INDFIN2022	1	Capítulo	1								
INDFIN2022	2	Título	1								
INFEXOCP22	1	Capítulo	1								
INFEXOCP22	2	Título	1								
ING01	1	Capítulo	1								
ING01	2	Título	1								
MEMSEM1	1	Capítulo	1								
MEMSEM1	2	Título	1								
MIESCA	1	Capítulo	1								
MIESCA	2	Título	1								
MIGRADORR8	1	Capítulo	1								
MIGRADORR8	2	Título	1								
NIIF-2023	1	Capítulo	1								
NIIF-2023	2	Título	1								
NRT191125	1	Capítulo	1								
NRT191125	2	Título	1								
NUEVOCPR8	1	Capítulo	1								
NUEVOCPR8	2	Título	1								
POS-FE-23	1	Capítulo	1								
POS-FE-23	2	Título	1								
PREPNE2022	1	Capítulo	1								
PREPNE2022	2	Título	1								
PRESCOM-NE	1	Capítulo	1								
PRESCOM-NE	2	Título	1								
PRESCOM22	1	Capítulo	1								
PRESCOM22	2	Título	1								
PRESCOMAW	1	Capítulo	1								
PRESCOMAW	2	Título	1								
PRESCOMCP	1	Capítulo	1								
PRESCOMCP	2	Título	1								
PRIMA0623	1	Capítulo	1								
PRIMA0623	2	Título	1								
PRIPASDEMO	1	Capítulo	1								
PRIPASDEMO	2	Título	1								
PRU-ESTRU	1	Capítulo	1								
PRU-ESTRU	2	Título	1								
PRUEBA	1	Capítulo	1								
PRUEBA	2	Título	1								
PRUEBASVID	1	Capítulo	1								
PRUEBASVID	2	Título	1								
PTOV-POS23	1	Capítulo	1								
PTOV-POS23	2	Título	1								
READM	1	Capítulo	1								
READM	2	Título	1								
REAL-DE822	1	Capítulo	1								
REAL-DE822	2	Título	1								
REC-DOC-22	1	Capítulo	1								
REC-DOC-22	2	Título	1								
RECART	1	Capítulo	1								
RECART	2	Título	1								
RECDOCCP22	1	Capítulo	1								
RECDOCCP22	2	Título	1								
RECEPDOC22	1	Capítulo	1								
RECEPDOC22	2	Título	1								
